Tiempo_s,COM4_uV,COM7_uV
0.508,-10.019312922259177,-12.650214126302835
0.512,-11.398496838993452,-14.416289923358619
0.516,-8.155949822720007,0.1329764957073376
0.52,-5.365562990064458,8.225987296043368
0.524,-5.547966034753639,-1.6383649637280122
0.528,-6.490660640187002,-12.459931424239763
0.532,-6.815643412205896,-9.681465451018282
0.536,-6.927837657466369,-0.9395507071612474
0.54,-6.324330120774764,0.1690059493109004
0.544,-5.570187655930921,-6.0327650698301944
0.548,-6.965347727235407,-8.950357689938249
0.552,-8.807242793741482,-6.564565202908696
0.556,-7.039274006482079,-6.562437784282153
0.56,-4.6270695435874405,-9.17664066404422
0.564,-6.9661524333542095,-8.774404625927172
0.568,-9.809820185381632,-7.576463077779257
0.572,-6.866837726935499,-7.497852786770579
0.576,-3.291483778758551,-2.6990282728550703
0.58,-6.027833150600401,4.3760430201428875
0.584,-10.012622691874425,1.6955584438544165
0.588,-8.684445496240295,-9.680238310734538
0.592,-6.369086883038392,-14.673883142052741
0.596,-7.2971349943680295,-8.232687664071506
0.6,-6.455374090487111,-1.358161315168445
0.604,-1.9930387162079684,-1.7706105070851237
0.608,-0.3274078001432512,-4.140771538017532
0.612,-2.9774166860286027,-4.190157287135893
0.616,-5.460835620861809,-6.082720054885538
0.62,-7.445986977806517,-9.664041536059983
0.624,-9.23162068010297,-9.315714912280633
0.628,-7.8693741758827604,-6.810955998906326
0.632,-5.017744159544441,-5.103610790484257
0.636,-4.512803359670669,-0.508582650804378
0.64,-4.025113117046117,3.9155848591655626
0.644,-2.3115465863287645,0.5138444647854783
0.648,-3.3262337006028586,-3.8469968784278343
0.652,-6.128887576406047,0.6658806707030571
0.656,-6.461261893981037,6.682244862941314
0.66,-6.247806561077847,5.129961415552749
0.664,-7.467614472505636,1.2722144545222207
0.668,-6.605847403376148,1.2875980190968441
0.672,-3.491277982238466,2.1246919055817983
0.676,-2.392288780764789,-0.8633168712988954
0.68,-3.208729230009747,-6.1232033051293016
0.684,-3.464793748118999,-7.060410163372488
0.688,-4.176455976993243,-3.065362710030829
0.692,-5.801396683064731,-2.277168312357553
0.696,-6.008167925036403,-4.551027984694112
0.7,-4.843607470715422,-1.5722269639592668
0.704,-4.444535283978386,0.20014597053924987
0.708,-4.534787161297941,-8.811304717061226
0.712,-4.3443060666552045,-14.034218097773167
0.716,-4.920777096416258,-4.096767770300438
0.72,-5.58725876557515,2.0487602193588117
0.724,-4.117538674813542,-4.744870367503388
0.728,-1.5584309888145809,-4.638774316165641
0.732,-0.5382820181343526,5.366958766977341
0.736,-0.7638672812922516,6.284194579987783
0.74,-1.2544077872616657,0.012182471408337392
0.744,-2.0411157656742454,1.2031341613700093
0.748,-1.559220967500648,6.755416337884164
0.752,0.7267141131538617,9.810689710713973
0.756,1.1918420413632873,10.833369757196245
0.76,-1.027554438733333,6.7323854831287875
0.764,-0.8245209545960872,0.4787774994381664
0.768,2.5483290764358726,2.8735433957951955
0.772,3.373426222035955,8.965014491792367
0.776,1.531476502546063,6.767903747995803
0.78,1.954423654688945,2.7107241380628224
0.784,3.061698071120321,5.190317915017189
0.788,1.412066317954093,7.7086087013775355
0.792,0.9479973115575013,6.755570769451673
0.796,4.091592367511923,5.944807087971263
0.8,5.389440675415543,4.014545309632513
0.804,2.3222875429813787,1.3322308490362857
0.808,-0.6352655192434825,2.6852373924953383
0.812,-0.6753476547954265,6.770165351731279
0.816,0.7613828262480271,10.108428683088938
0.82,1.633523786813164,12.985373858727499
0.824,0.8280301273170438,13.36007062833064
0.828,-0.6636257621569931,9.221835551761203
0.832,-0.7567109258313255,4.943627796028899
0.836,0.41454329652588884,4.224475200689724
0.84,1.2622832150160157,4.358267450784204
0.844,1.3299731407117499,2.0632817975017304
0.848,0.7608567291487165,-0.3753625637846696
0.852,-0.4824542855505931,2.066589248143103
0.856,-1.8267615276555662,8.801476227937414
0.86,-1.7670191743722787,14.626078565187296
0.864,0.326850331512788,17.687646026930963
0.868,2.1853258783242118,16.260495889109947
0.872,1.724165826732429,8.551096289808498
0.876,0.6584828285151112,2.6164810183374954
0.88,0.34506028963336455,4.781375606136624
0.884,-0.6348727945937753,4.972092759776874
0.888,-1.178741498776665,-1.641946183032342
0.892,1.1476532230434742,-3.2137612285175905
0.896,3.9480743001093197,2.1039889870085666
0.9,3.947637031548514,2.8281849740615996
0.904,2.4809351475843933,-0.7648258180871821
0.908,1.6260558668081013,0.08351225337363744
0.912,1.3377115831601145,4.162347839481768
0.916,1.3273332601164785,4.696418074974819
0.92,1.2760239679200742,1.4903746518659204
0.924,1.2830000869884806,0.512342575363057
0.928,2.1779395339356253,3.6714291888131427
0.932,2.8820290491227905,5.036106570405789
0.936,1.5556944374841666,2.527799970844974
0.94,-0.19852797080062068,1.1799874818871317
0.944,-0.12182098601864189,1.0257245807073332
0.948,0.5102130013033765,0.4006960433836042
0.952,0.43991131696554986,3.0157963843494926
0.956,0.5292998091739902,6.578902528249142
0.96,-0.05388257817787678,5.500303569490214
0.964,-2.615588573676146,4.398625662335542
0.968,-4.805326429312419,4.710858086970685
0.972,-4.394300316823282,0.04703833560922632
0.976,-3.3354401938123828,-3.194638877787483
0.98,-3.4096581674782405,3.4600532889881617
0.984,-3.444908815577515,8.686474625522393
0.988,-2.765327545466097,4.243028899200681
0.992,-2.254372653756099,0.21527456806569134
0.996,-1.9689276696448401,0.583812820659805
1.0,-0.7509104134989306,0.023994001815223598
1.004,1.7717926036474334,-0.31009086772863803
1.008,3.6522574044728717,0.6252109925643801
1.012,3.0945625072872183,1.5982517675528598
1.016,1.8198878505603067,6.310221474186648
1.02,1.5531938513704762,11.82437605974901
1.024,0.7217908195671239,9.113351726437784
1.028,-0.3132396464904925,2.1767873621272003
1.032,0.8376156923118281,-0.6161908184841636
1.036,1.4013048148092135,-2.0659838044049774
1.04,-1.6934396925044704,-3.4886877555126095
1.044,-3.893952091324771,-0.7134276992473083
1.048,-2.2293177062886995,3.162639890739829
1.052,-1.5512815405974425,3.0180790085897833
1.056,-3.8830932265521696,1.5491048096479787
1.06,-5.8584418100002065,3.581234849906682
1.064,-6.813905308670489,8.953771495947432
1.068,-7.341719394810858,11.150929060454374
1.072,-7.110813138208545,5.768062218199461
1.076,-8.321506644599125,0.3812093899779576
1.08,-10.949517922152452,1.098462062433395
1.084,-10.540268006598907,-0.24569266175799953
1.088,-8.143975659575203,-7.094522294064369
1.092,-8.63688903949722,-10.670504917496412
1.096,-10.118361550670986,-11.307119983707128
1.1,-10.15532421746903,-15.367495899072228
1.104,-11.231580825441874,-15.675368978779318
1.108,-11.353121422046252,-5.753530431343357
1.112,-7.660115697485086,2.1108325877083303
1.116,-6.180243238663268,-2.7979002746275725
1.12,-9.643245285521783,-10.087835000325647
1.124,-10.821905991491331,-6.964085017873085
1.128,-8.437992427411046,-0.16221530879184343
1.132,-7.695078618417807,-1.375428373720414
1.136,-6.964646901805071,-5.836371106929256
1.14,-4.119015261898133,-5.059761729210386
1.144,-3.469470095624156,-3.783199345290221
1.148,-5.247135999479366,-6.296282423634924
1.152,-5.221305890101634,-7.085888665542793
1.156,-4.2562610142742106,-4.597496158599952
1.16,-4.32296124129213,-2.6869883830626193
1.164,-4.1536556825213955,-0.8005752019742118
1.168,-4.410329534430979,1.7533747701207005
1.172,-6.147392274567984,3.110716428715527
1.176,-7.373178641114721,3.2072972178421466
1.18,-7.8211223488632635,0.6939647424763038
1.184,-8.842092579540196,-4.762034528017743
1.188,-9.18008993838175,-7.3525716211385905
1.192,-8.701920265810095,-7.325723783586042
1.196,-9.231931183944651,-11.747298814262422
1.2,-8.629640575152134,-14.622232603338109
1.204,-4.799064497063436,-7.67564215190442
1.208,-2.067065443398852,-3.5511131529395783
1.212,-3.19459237738147,-11.715488948440054
1.216,-4.207133012299035,-17.35250256235642
1.22,-3.7816858928210593,-12.56384480087631
1.224,-4.715624090842975,-7.5753399302907525
1.228,-5.4272303382680915,-3.4541798595050963
1.232,-3.4573395753660727,1.6080944449129149
1.236,-1.7321174353176323,-3.1191110442697223
1.24,-1.761245671294625,-14.662616430794259
1.244,-1.3837891194846144,-13.400191333985823
1.248,-1.3664386992340658,-2.0810534675278376
1.252,-2.391277773715335,0.20813998823777524
1.256,-1.6881889975199762,-4.011346439494368
1.26,0.011560688274348863,-2.439566895416725
1.264,-0.25281922559067027,1.1966752740331543
1.268,-0.673340352821473,1.4903767096644103
1.272,-0.3563919382378584,1.1495981801405435
1.276,-1.8060183774102452,-1.4276470556615806
1.28,-2.8043474961053545,-7.033157670210905
1.284,-0.5794514776791493,-7.040784210076083
1.288,0.5162005182277394,0.08025048904315213
1.292,-1.9596275953231856,2.070588243916852
1.296,-3.7324544112571374,-4.948808401678342
1.3,-3.1237114615237918,-9.004535563600022
1.304,-1.9529007460429932,-4.691406583905604
1.308,-0.7129726732650115,-1.1580680257456635
1.312,-0.8032412244416811,-1.8484959102577818
1.316,-2.583376853377164,1.1090224284162886
1.32,-2.239721202119485,7.383976370312354
1.324,0.2481532150891157,7.30864474785821
1.328,-0.505143197791579,2.209042538433259
1.332,-3.910909289751377,2.0850720933253655
1.336,-4.502881309258802,6.473928501822833
1.34,-2.709897358926331,8.682336659961997
1.344,-1.355128455510596,9.582165630217347
1.348,0.3173765020063506,11.705148080423918
1.352,1.000890124184382,11.946691806437002
1.356,-1.2905875558692905,8.772291088584645
1.36,-2.070229910685047,5.725748858365563
1.364,0.9461786145455884,4.320191584333784
1.368,1.2647033062279274,2.0802070138090443
1.372,-2.1876018029567907,0.27046233476762893
1.376,-1.4132619273975693,3.945415794566017
1.38,3.359940058152293,9.93759599751337
1.384,3.824848662815208,9.029818200153812
1.388,0.5787158513091626,3.792871631014748
1.392,0.304847061545483,3.837748426464657
1.396,2.397314226034404,5.396227553835956
1.4,2.8555000846857097,0.3384535818216108
1.404,2.383577185161855,-3.6316705175814405
1.408,2.57029511377804,2.401681172356561
1.412,2.2970872009383516,7.598712599100622
1.416,1.2000404276661065,0.1708575391317595
1.42,0.9610541209297248,-8.103758236362808
1.424,1.7055337149447265,-2.3696137417939553
1.428,1.0463424603674847,6.218943438306155
1.432,-1.3015453315658778,1.802194245840795
1.436,-2.23132949690385,-5.834471244604188
1.44,-1.1634565875098275,-3.4302096605949117
1.444,-1.1099211941860272,1.365312441589552
1.448,-1.77036345909998,1.278920040156322
1.452,-0.15454391691147062,-0.2305647639522448
1.456,1.693064405991091,-5.003663714555259
1.46,-0.08456100780773568,-12.563678014912085
1.464,-2.9670902477651717,-13.481712450280227
1.468,-2.964219817102216,-9.514566585168481
1.472,-1.5327591631064559,-8.645306399142598
1.476,-0.47564771395123806,-4.6986754841412335
1.48,0.8741548411800029,5.021420330176369
1.484,1.0084829111066798,7.123707733594415
1.488,-0.8408916556052759,-1.9534014740494001
1.492,-0.8640949466994279,-9.825260497193568
1.496,1.984652595676641,-11.239368985479672
1.5,3.757536719693219,-9.789669228350476
1.504,3.4868006131491676,-5.991035901127191
1.508,3.291148093932714,-1.126488008691183
1.512,3.6606810642417296,0.12669067529859035
1.516,4.707120864953989,-2.174385972585611
1.52,5.862803267899695,-3.918001105137151
1.524,5.625477890784504,-4.444435900879
1.528,5.4307741268576315,-3.1420661641435004
1.532,6.550947453296842,2.770937220849163
1.536,5.986205780671124,8.603669871623083
1.54,3.4172779260304846,6.957882037524882
1.544,2.713163822738289,3.3512455688474745
1.548,3.759435431974417,3.6433544643863485
1.552,4.492918781179089,-0.019121133535691115
1.556,6.1548810548123525,-6.841326815363601
1.56,8.246956714035628,-3.257972911775468
1.564,8.050525560622942,6.299273965861573
1.568,6.512645009050077,7.848378837766418
1.572,5.710067946119478,7.1100226172267185
1.576,5.343159154632577,9.354217373109051
1.58,5.2631778096447235,4.014742079495207
1.584,5.1696023112589256,-6.09183121612908
1.588,4.5310060473278515,-6.323004637857679
1.592,5.365923451548472,-0.5336972587630839
1.596,8.704672635843027,1.0857455929044733
1.6,11.180017210535434,1.6250924058047929
1.604,10.84391736119748,2.405064013604232
1.608,9.922003956639282,0.19547873020204065
1.612,9.913403807350491,-1.121864483180886
1.616,10.176715546838725,-0.29789823561533524
1.62,9.856742734957486,-1.842069971286179
1.624,8.626001542757479,-2.6668303023538726
1.628,7.967179335868833,0.524899577997374
1.632,9.365035088027224,1.4157016843592203
1.636,10.446332958490725,-1.4962268343909955
1.64,9.285826019827471,-1.9386535366781459
1.644,9.220996742414371,0.43464511202856215
1.648,11.374785078630063,3.199507379212747
1.652,10.726776669925986,6.195737456992859
1.656,6.738426478024045,4.830055268118883
1.66,5.6806111184715,-1.8175702869484525
1.664,8.157918659344631,-3.0645533504496143
1.668,8.375902583935575,3.648413394536405
1.672,6.375344699118044,5.135733414047763
1.676,6.858166949776978,-2.408057051530079
1.68,8.502697779642347,-7.591832361927601
1.684,7.090382689111537,-6.2794815940275726
1.688,4.945619031879199,-4.358487734280516
1.692,6.309502667212588,-3.610079409337658
1.696,8.13903090447911,-2.3560370167815705
1.7,5.84273280391781,-0.7984397531674006
1.704,2.943361770468522,0.6025736765649583
1.708,4.6784227315964095,1.30872871115929
1.712,8.034016099139617,2.6168982578310533
1.716,7.948122012113305,7.421975283406056
1.72,6.030275952691941,11.44634419071781
1.724,5.557991577003507,7.583826320371742
1.728,6.036426567758101,1.7816207045200088
1.732,6.373304439260349,3.0906838331788578
1.736,6.2359752807177244,4.516905654007587
1.74,4.752442772535198,-1.9346233074737
1.744,2.7057079948717035,-8.23770231600551
1.748,2.8140138091778617,-7.359505401559005
1.752,5.426912667122785,-3.882920067999038
1.756,7.427406355064449,-0.4904308862941491
1.76,6.615651817621625,2.5756014230866526
1.764,4.5940305746852825,1.8949626628790952
1.768,3.938651336731102,-0.1660063436366528
1.772,4.510157426776901,0.37526274599953524
1.776,4.410555703391486,-2.408108067131522
1.78,2.88255084362247,-8.970936176340771
1.784,0.8656539352369599,-8.685337833124223
1.788,-0.06995413014041763,-4.130516590641804
1.792,0.4272125939825058,-4.6063099618484245
1.796,0.45267501739441496,-2.3860860301545017
1.8,-1.3182319975310381,4.274680515453355
1.804,-3.041425124095121,-1.210192842354516
1.808,-2.790160983020381,-13.223659831219123
1.812,-1.5866546595927105,-8.917501019243232
1.816,-0.8267972973006614,1.7875487871206843
1.82,-0.2526948859028506,-2.389619159923896
1.824,-0.14446430395370058,-8.976687522849005
1.828,-1.6182220007238772,-5.289952084606114
1.832,-3.4059766666909526,-6.744913538701269
1.836,-2.7329156491031514,-16.831169069352086
1.84,-0.2021711692370607,-18.734062785432997
1.844,1.0057730551390183,-13.488011105398101
1.848,-0.05825556668020404,-12.785378783738636
1.852,-2.2597103025916825,-12.509259600474572
1.856,-4.00139260794198,-9.815032446222176
1.86,-3.34571364350315,-11.367195967252599
1.864,-1.5709516197617504,-11.934574086649732
1.868,-2.840355581810116,-5.831148532938137
1.872,-5.559358647826192,-6.335730254594125
1.876,-4.027197171599928,-16.73990667660894
1.88,-0.556845951004787,-17.560281510606515
1.884,-1.350837084734799,-7.417725180679618
1.888,-3.598632564778745,-6.85106712921371
1.892,-2.2462375608437513,-14.893870196344523
1.896,-0.39696846118006857,-15.143830450731741
1.9,-1.2255914000053214,-11.678378340209605
1.904,-2.8935494894684073,-14.387188305540413
1.908,-4.994053509851259,-17.34440865287469
1.912,-6.563671915851584,-17.089180672871805
1.916,-4.303046533515401,-18.612577932847564
1.92,-0.9474019329396155,-20.031635615907845
1.924,-1.5884909222638108,-18.127943835602117
1.928,-3.3931983323288413,-16.686647031199932
1.932,-3.10577083816359,-17.676188488970986
1.936,-3.1591106016445067,-20.07682813993511
1.94,-3.214308256116592,-22.494680860356723
1.944,-1.514550320132582,-19.737629840086278
1.948,-0.8075365418619436,-12.171934649794167
1.952,-1.3734946243213866,-11.278490558463247
1.956,-0.3355891964601785,-18.787120334896663
1.96,0.902048083636156,-19.514162551832456
1.964,1.1536675029407402,-8.197858713266704
1.968,2.1612923384977134,0.6150425649775073
1.972,1.3490550676593713,-2.43346215996489
1.976,-3.673215623136813,-9.927159635006483
1.98,-7.627263379159816,-14.609569678562266
1.984,-6.85088459404883,-16.57632146093196
1.988,-5.60071375458946,-13.040710169444928
1.992,-6.921579011127066,-3.5358379136234674
1.996,-8.13628427867407,-0.49213100650509034
2.0,-6.964970981725167,-9.50816419305028
2.004,-5.129375550651309,-14.879568781720586
2.008,-4.9155050728093155,-8.208299150588918
2.012,-5.247003759317843,-1.8775833785508382
2.016,-4.075983308714456,-0.8596951847963012
2.02,-2.9031132405212765,1.0069511458499605
2.024,-4.075151731083762,0.6753694996095447
2.028,-5.9684103674874,-4.948215754218229
2.032,-5.756729260853673,-9.52738468810216
2.036,-3.9988075219762793,-11.45107554605509
2.04,-2.9179941393130147,-11.44249990810454
2.044,-2.512321531094804,-5.510104428485452
2.048,-1.245752222619985,1.3461584187714095
2.052,0.3620653557966531,-0.30352806737813864
2.056,0.31335592905599796,-5.944389597995791
2.06,-0.4379967660571549,-8.619302747428879
2.064,0.9513468543126684,-10.281182761780446
2.068,3.1311879405262304,-10.213343707508223
2.072,1.9516038570787475,-7.407430655204273
2.076,-1.8806721828695625,-6.3288544703679825
2.08,-3.8756192421389066,-3.7325466139288075
2.084,-3.443303859247166,5.379354053007166
2.088,-2.935783970345083,10.255345899929932
2.092,-2.3716316823257646,3.128311229027041
2.096,-1.4744111521050722,-3.163884822364192
2.1,-1.2967794314666756,0.17172262216876533
2.104,-1.0247815624226408,3.409971779773006
2.108,-0.24469422229191395,0.1812021695854753
2.112,-1.3147641796293286,-3.5537256178149086
2.116,-3.369824633076464,-4.588713736320859
2.12,-2.6518530290274347,-6.243391265759524
2.124,-0.2837712479100478,-8.615016164394651
2.128,0.9199157799622915,-7.841651614751656
2.132,2.3013799075826347,-3.9088762883328982
2.136,3.6815589071629766,-1.0120396257884536
2.14,2.2379924190629668,0.1623513756783872
2.144,-0.5726665167849354,2.147875873482551
2.148,-1.7571410004807073,2.7854230188781752
2.152,-2.1619434114410385,-1.453065654085691
2.156,-2.498822951138988,-6.140204027016264
2.16,-1.8655877798912535,-5.188169130649165
2.164,-1.219146950338919,-1.6322496472913635
2.168,-1.6478140605085831,-1.066866381592952
2.172,-2.3787093239156585,-2.1643315897950366
2.176,-2.8801108119214716,-2.428648183349914
2.18,-3.1046641676907414,-3.0811500718414386
2.184,-2.8726244677088735,-2.9272335663066507
2.188,-2.5952197922105515,0.6517835134006766
2.192,-2.5880830317927064,3.904331962335947
2.196,-2.952170079666983,3.16500792550519
2.2,-3.914183054235963,3.8951407457480016
2.204,-4.042056820984024,9.375783884289596
2.208,-2.051450191353416,11.345880381841546
2.212,-1.0117923192194072,5.360458335324694
2.216,-3.812476104532526,0.3005427372009599
2.22,-6.245468102149726,1.9093103685870094
2.224,-3.25808559844736,4.400112484639912
2.228,1.4451370529566259,3.897517304884259
2.232,1.2422640022596267,3.2709399328246125
2.236,-2.3979596983214297,4.089754469307836
2.24,-4.267642676467559,5.720461312672107
2.244,-4.812162712382159,7.804909012169016
2.248,-5.510400853633467,9.227631065949218
2.252,-3.6734093930368967,9.620794014787602
2.256,0.040340410438295615,8.11897401536813
2.26,0.9790012940883954,1.5428328521176597
2.264,0.4132949695204512,-5.76117180743317
2.268,1.8180991184891835,-2.073527993519061
2.272,2.0229393329681007,9.39496556961813
2.276,-0.5661612960684275,11.264231165585834
2.28,-0.8171513969183373,2.5560278046540095
2.284,2.0117259302931623,-1.9502440579709934
2.288,3.4418327910995394,0.4272282442404238
2.292,3.4588688211205234,3.804593458167173
2.296,3.46112138803117,8.597585223620666
2.3,2.1235404782109204,10.904312065706629
2.304,0.9064978883003554,3.854601513581498
2.308,1.3375919409515005,-4.557046086757882
2.312,0.46791358256966,-3.5294975630302896
2.316,-0.5238837443091322,2.0191738305367197
2.32,3.35971241866884,5.385091658280261
2.324,8.068259359611169,7.7193677546499595
2.328,6.468642770947432,6.309543930824061
2.332,2.8733215107338648,-0.7450104347761048
2.336,4.008860239997245,-4.1793813564828115
2.34,6.34586603080227,1.3674104307813502
2.344,4.9562402001807735,6.565927257251724
2.348,1.966534715845722,4.934973527976057
2.352,0.2708401147577063,2.909115464343209
2.356,-0.38074243186639734,4.115296531633678
2.36,-0.10201699283351306,2.979115335770255
2.364,1.8052950848744964,-0.5776383880709866
2.368,4.378484598268134,-0.7019030536570868
2.372,4.82296847637118,-0.19780882587759718
2.376,2.5091086041585937,-3.6323668224365657
2.38,1.1674201414996037,-4.814134509365867
2.384,3.4419185074376935,-0.4614482128920716
2.388,6.505170239105772,2.815660871978893
2.392,6.956950954302931,3.5482624616854377
2.396,5.29124864755556,3.6097634611843206
2.4,3.447823096006635,0.07881485689497669
2.404,2.2502063292294383,-3.083809609295294
2.408,1.2100873101094547,1.7736201040193202
2.412,-0.42603998683274746,8.282433941887174
2.416,-1.181678264095447,7.864940474275045
2.42,1.0082396963893676,5.3012564618132085
2.424,3.6222177796116988,5.027596075431327
2.428,2.8173193547868625,4.290385968720006
2.432,1.062862603465436,3.424436669607277
2.436,2.4889879167169573,5.683574193104511
2.44,4.2749186215622785,11.188295915822534
2.444,2.683931674897142,14.544224597989851
2.448,1.0597842657078296,8.787423172518883
2.452,2.435474678765497,0.00870599183627041
2.456,3.2970309319440334,2.8307510989126317
2.46,1.360264738049791,11.713016325444716
2.464,-0.39446877274064396,9.149181880319944
2.468,-0.16023401318978125,1.7046290090292904
2.472,0.6200205533202101,5.575298105124213
2.476,0.9928146613898421,12.470594780252949
2.48,1.309622171908811,9.385380002351313
2.484,1.9166820819077643,3.31159597411032
2.488,2.1586010503751663,1.2747824848495863
2.492,1.531886579807812,-0.45979787318961396
2.496,2.146936649619101,-0.8277222998619669
2.5,4.978290445117166,2.9455208602124965
2.504,5.84339910612356,5.175467033239115
2.508,3.2563167789890004,2.8372736166940693
2.512,2.3829120017259147,0.5008587287718917
2.516,3.9728150881961004,-0.9290559917246286
2.52,3.00295131453242,-2.9032700929250916
2.524,0.4019894605953116,-1.9131117842737755
2.528,0.3988805476957433,2.757881005785558
2.532,1.0200843202768317,5.653086350591767
2.536,-0.11806405793179264,6.296568363127439
